日期,收盘,开盘,高,低,交易量,涨跌幅
2003年1月19日,86.38,90.87,90.92,86.17,209.98M,-4.72%
2003年1月26日,86.06,85.73,87.18,84.15,264.25M,-0.37%
2003年2月2日,83.42,86.14,86.82,82.97,235.70M,-3.07%
2003年2月9日,84.15,83.47,84.71,81,245.96M,0.88%
2003年2月16日,85.18,84.53,85.8,83.46,161.23M,1.22%
2003年2月23日,84.9,84.93,85.23,82.22,221.16M,-0.33%
2003年3月2日,83.32,85.26,85.78,81.43,223.59M,-1.86%
2003年3月9日,84.13,82.6,84.77,79.38,287.85M,0.97%
2003年3月16日,89.67,83.46,89.88,83.22,327.83M,6.59%
2003年3月23日,86.71,88.02,88.26,85.99,258.30M,-3.30%
2003年3月30日,88.22,85.35,88.99,84.4,250.52M,1.74%
2003年4月6日,87.15,90.34,90.85,86.54,255.18M,-1.21%
2003年4月13日,89.56,87.47,90.07,87,176.27M,2.77%
2003年4月20日,90.23,89.86,92.35,88.89,230.18M,0.75%
2003年4月27日,93.21,90.44,93.47,90.3,248.40M,3.30%
2003年5月4日,93.73,93.47,94.38,92.28,195.92M,0.56%
2003年5月11日,94.87,93.5,95.45,93.28,190.08M,1.22%
2003年5月18日,93.76,94.15,94.89,91.6,213.18M,-1.17%
2003年5月25日,96.95,93.3,97.09,93.18,185.01M,3.40%
2003年6月1日,99.26,97.53,101.4,96.67,246.54M,2.38%
2003年6月8日,99.56,98.77,100.9,97.77,191.29M,0.30%
2003年6月15日,99.44,99.96,102.18,99.42,193.92M,-0.12%
2003年6月22日,97.66,99.45,99.66,96.96,206.22M,-1.79%
2003年6月29日,98.74,98.22,99.85,96.43,150.83M,1.11%
2003年7月6日,100.24,99.65,101.4,98.63,191.15M,1.52%
2003年7月13日,99.51,101.2,101.9,98.16,230.64M,-0.73%
2003年7月20日,100.23,99.45,100.34,97.85,206.96M,0.72%
2003年7月27日,98.51,100.37,100.98,98.24,224.87M,-1.72%
2003年8月3日,98.28,98.31,99,96.34,239.39M,-0.23%
2003年8月10日,99.62,98.26,99.85,97.84,162.99M,1.36%
2003年8月17日,99.77,99.93,101.82,99.73,182.22M,0.15%
2003年8月24日,101.44,99.71,101.48,98.83,143.72M,1.67%
2003年8月31日,102.83,101.64,103.7,101.05,155.85M,1.37%
2003年9月7日,102.45,103.04,103.88,101.35,194.95M,-0.37%
2003年9月14日,103.67,102.52,104.7,101.95,156.03M,1.19%
2003年9月21日,99.95,102.85,103.29,99.85,207.04M,-3.59%
2003年9月28日,103.39,100.3,104.28,99.25,266.84M,3.44%
2003年10月5日,104.57,103.48,105.22,102.91,156.62M,1.14%
2003年10月12日,104.26,104.72,105.89,103.98,167.83M,-0.30%
2003年10月19日,103.58,104.45,105.28,102.18,186.86M,-0.65%
2003年10月26日,105.3,103.74,105.97,103.27,163.26M,1.66%
2003年11月2日,105.61,105.75,106.72,104.9,162.85M,0.29%
2003年11月9日,105.46,105.74,106.95,104.8,159.30M,-0.14%
2003年11月16日,104.21,104.91,105.45,103.62,199.12M,-1.19%
2003年11月23日,106.45,104.69,106.66,104.68,110.14M,2.15%
2003年11月30日,106.85,106.93,108.08,106.62,178.14M,0.38%
2003年12月7日,108.14,106.74,108.2,105.96,192.68M,1.21%
2003年12月14日,108.9,109.17,109.73,107.48,166.06M,0.70%
2003年12月21日,109.7,108.83,110.08,108.78,68.76M,0.73%
2003年12月28日,111.23,110.1,112.19,109.78,111.72M,1.39%
2004年1月4日,112.39,111.78,113.5,111.59,169.80M,1.04%
2004年1月11日,114.23,112.55,114.31,111.76,188.37M,1.64%
2004年1月18日,114.43,114.53,115.38,113.72,140.51M,0.18%
2004年1月25日,113.48,114.44,116.5,112.56,209.86M,-0.83%
2004年2月1日,114.45,113.7,114.7,112.78,176.88M,0.85%
2004年2月8日,115.13,114.67,116.39,114.26,168.35M,0.59%
2004年2月15日,114.88,115.85,116.6,114.32,150.57M,-0.22%
2004年2月22日,115.02,115.22,115.74,113.03,180.52M,0.12%
2004年2月29日,116.38,115.43,116.97,114.92,180.16M,1.18%
2004年3月7日,112.58,116.34,116.62,111.1,290.33M,-3.27%
2004年3月14日,111.06,112.27,113.27,110.84,268.38M,-1.35%
2004年3月21日,111.03,110.54,111.79,108.85,255.89M,-0.03%
2004年3月28日,114.64,111.63,114.84,111.58,227.92M,3.25%
2004年4月4日,114.37,114.46,115.41,113.74,151.61M,-0.24%
2004年4月11日,113.83,114.58,115.3,112.36,250.37M,-0.47%
2004年4月18日,114.36,113.57,114.67,111.78,223.50M,0.47%
2004年4月25日,110.96,114.5,115.12,110.9,247.64M,-2.97%
2004年5月2日,109.96,111.37,113.26,109.96,235.36M,-0.90%
2004年5月9日,110.04,109.44,110.81,108.06,326.26M,0.07%
2004年5月16日,109.81,108.89,111.18,108.41,225.93M,-0.21%
2004年5月23日,112.86,110.53,113.03,109.6,197.37M,2.78%
2004年5月30日,112.98,112.46,113.58,111.87,152.34M,0.11%
2004年6月6日,114.35,113.5,114.92,113.42,123.07M,1.21%
2004年6月13日,113.63,113.82,114.44,112.87,159.01M,-0.63%
2004年6月20日,113.84,113.75,114.94,112.67,170.14M,0.18%
2004年6月27日,112.88,114.53,114.79,112.58,214.73M,-0.84%
2004年7月4日,111.73,112.37,112.57,111.2,141.47M,-1.02%
2004年7月11日,110.71,111.52,112.39,110.44,196.06M,-0.91%
2004年7月18日,108.96,110.75,112.06,108.69,265.44M,-1.58%
2004年7月25日,110.84,109.21,110.9,108.21,261.03M,1.73%
2004年8月1日,106.85,110.19,111.36,106.62,246.23M,-3.60%
2004年8月8日,107.19,107.02,108.41,106.59,238.30M,0.32%
2004年8月15日,110.48,107.14,110.63,107.1,214.65M,3.07%
2004年8月22日,111.45,110.55,111.63,109.85,154.55M,0.88%
2004年8月29日,112.12,111.23,112.82,110.1,197.07M,0.60%
2004年9月5日,113.06,112.54,113.27,112.03,132.62M,0.84%
2004年9月12日,113.15,113.31,113.74,112.68,168.68M,0.08%
2004年9月19日,111.46,112.67,113.47,110.95,206.42M,-1.49%
2004年9月26日,113.65,111.1,113.65,110.41,221.69M,1.96%
2004年10月3日,112.51,114.09,114.68,112.35,204.34M,-1.00%
2004年10月10日,111.26,112.78,113.07,110.57,244.58M,-1.11%
2004年10月17日,109.99,110.89,112.23,109.75,259.05M,-1.14%
2004年10月24日,113.2,109.75,113.64,109.35,275.73M,2.92%
2004年10月31日,117.28,113.56,117.64,113.2,288.86M,3.60%
2004年11月7日,118.79,116.98,119,116.72,218.21M,1.29%
2004年11月14日,117.42,118.5,119.14,117.14,216.57M,-1.15%
2004年11月21日,118.35,117.17,118.98,117.03,124.77M,0.79%
2004年11月28日,119.25,118.79,120.14,117.48,275.43M,0.76%
2004年12月5日,119.33,119.21,119.64,117.73,237.87M,0.07%
2004年12月12日,119.44,119.76,121.24,119.16,250.05M,0.09%
2004年12月19日,120.77,119.75,121.28,119.17,137.56M,1.11%
2004年12月26日,120.87,121.2,121.66,120.39,126.92M,0.08%
2005年1月2日,118.44,121.56,121.76,118,295.30M,-2.01%
2005年1月9日,118.24,118.34,119.46,117.5,292.29M,-0.17%
2005年1月16日,116.78,118.05,119.62,116.65,247.74M,-1.23%
2005年1月23日,117.43,117.09,117.75,116.37,301.83M,0.56%
2005年1月30日,120.23,117.97,120.43,117.71,257.94M,2.38%
2005年2月6日,120.77,120.25,121.04,119.25,240.36M,0.45%
2005年2月13日,120.39,120.69,121.46,119.9,236.49M,-0.31%
2005年2月20日,121.43,119.9,121.67,118.58,279.65M,0.86%
2005年2月27日,122.73,121.15,122.83,120.04,299.51M,1.07%
2005年3月6日,120.39,122.66,123.25,120.16,285.52M,-1.91%
2005年3月13日,118.54,120.61,121.46,118.15,300.18M,-1.54%
2005年3月20日,117.14,118.71,118.93,116.75,278.73M,-1.18%
2005年3月27日,117.43,117.42,118.99,116.25,345.33M,0.25%
2005年4月3日,118,117.36,119.26,116.74,286.52M,0.49%
2005年4月10日,114.15,118.29,119.06,114.1,432.20M,-3.26%
2005年4月17日,115.57,114.12,116.5,113.55,460.87M,1.24%
2005年4月24日,115.75,115.86,116.77,113.97,391.47M,0.16%
2005年5月1日,117.09,116.07,118,115.52,392.39M,1.16%
2005年5月8日,115.72,117.21,118.08,114.8,392.07M,-1.17%
2005年5月15日,119.12,115.7,119.41,115.66,298.10M,2.94%
2005年5月22日,120.25,119.21,120.25,118.83,218.98M,0.95%
2005年5月29日,120.15,120.08,120.92,119.4,216.36M,-0.08%
2005年6月5日,120.2,120.02,121.25,119.44,246.72M,0.04%
2005年6月12日,121.36,119.94,121.9,119.81,237.82M,0.97%
2005年6月19日,118.98,121.08,121.94,118.84,250.99M,-1.96%
2005年6月26日,119.53,118.97,120.4,118.75,248.93M,0.46%
2005年7月3日,121.32,119.25,121.32,118.26,273.44M,1.50%
2005年7月10日,122.84,121.33,123.44,121.31,264.15M,1.25%
2005年7月17日,123.54,122.5,123.73,122.05,342.71M,0.57%
2005年7月24日,123.74,123.41,124.64,122.37,256.61M,0.16%
2005年7月31日,122.88,123.83,124.74,122.67,231.14M,-0.70%
2005年8月7日,123.06,123.17,124.5,122.38,282.59M,0.15%
2005年8月14日,122.47,123.22,123.87,121.84,264.52M,-0.48%
2005年8月21日,120.76,122.58,123.23,120.68,303.46M,-1.40%
2005年8月28日,122.27,120.41,123.15,120.38,355.79M,1.25%
2005年9月4日,124.6,122.66,124.74,122.65,182.22M,1.91%
2005年9月11日,123.5,124.45,124.67,122.87,295.80M,-0.88%
2005年9月18日,121.44,123.47,123.61,120.44,376.87M,-1.67%
2005年9月25日,123.04,122.02,123.04,121.02,309.77M,1.32%
2005年10月2日,119.61,122.96,123.34,118.17,434.75M,-2.79%
2005年10月9日,118.67,119.68,119.71,116.88,416.59M,-0.79%
2005年10月16日,118.13,118.77,119.81,117.12,489.27M,-0.46%
2005年10月23日,119.8,118.44,120.54,117.93,373.39M,1.41%
2005年10月30日,122.11,120.29,122.66,120.13,365.90M,1.93%
