日期,收盘,开盘,高,低,交易量,涨跌幅
2015年2月27日,210.66,211.26,211.58,210.6,108.08M,-0.34%
2015年3月2日,211.99,210.78,212.06,210.72,87.49M,0.63%
2015年3月3日,211.12,211.47,212.05,210.08,110.33M,-0.41%
2015年3月4日,210.23,210.4,210.49,209.06,114.50M,-0.42%
2015年3月5日,210.46,210.62,210.8,209.85,76.87M,0.11%
2015年3月6日,207.5,209.42,209.94,207.1,188.13M,-1.41%
2015年3月9日,208.36,207.74,208.79,207.55,89.82M,0.41%
2015年3月10日,204.98,206.71,206.81,204.93,157.12M,-1.62%
2015年3月11日,204.5,205.29,205.5,204.4,110.15M,-0.23%
2015年3月12日,207.1,205.26,207.18,205.2,93.99M,1.27%
